consumer_id,transaction_id,card_id,market_id,category_id,amount,approved_at,menu_name,quantity,market_name,category_name,mcc,sex,birth
100,10,2,2,2,2160000.0,2026-01-13 00:40:12+0000,자기계발 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,11,2,3,3,360.0,2026-01-13 00:40:51+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,12,2,3,3,360.0,2026-01-13 00:41:20+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,13,2,3,3,8820.0,2026-01-13 00:42:41+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,14,2,3,3,8820.0,2026-01-13 00:42:46+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,15,2,3,3,180.0,2026-01-13 00:43:30+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,16,2,3,3,180.24,2026-01-13 00:43:39+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,17,2,2,2,1440000.0,2026-01-13 00:44:48+0000,소비분석 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,18,2,3,3,242807.76,2026-01-13 00:45:06+0000,소비분석 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,19,2,2,2,2490000.0,2026-02-13 00:40:12+0000,자기계발 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,20,2,3,3,415.0,2026-02-13 00:40:51+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,21,2,3,3,415.0,2026-02-13 00:41:20+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,22,2,3,3,10167.5,2026-02-13 00:42:41+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,23,2,3,3,10167.5,2026-02-13 00:42:46+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,24,2,3,3,207.5,2026-02-13 00:43:30+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,25,2,3,3,207.78,2026-02-13 00:43:39+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,26,2,2,2,1660000.0,2026-02-13 00:44:48+0000,소비분석 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,27,2,3,3,279903.39,2026-02-13 00:45:06+0000,소비분석 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,28,2,2,2,2730000.0,2026-03-13 00:40:12+0000,자기계발 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,29,2,3,3,455.0,2026-03-13 00:40:51+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,30,2,3,3,455.0,2026-03-13 00:41:20+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,31,2,3,3,11147.5,2026-03-13 00:42:41+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,32,2,3,3,11147.5,2026-03-13 00:42:46+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,33,2,3,3,227.5,2026-03-13 00:43:30+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,34,2,3,3,227.81,2026-03-13 00:43:39+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,35,2,2,2,1820000.0,2026-03-13 00:44:48+0000,소비분석 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,36,2,3,3,306882.03,2026-03-13 00:45:06+0000,소비분석 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,1,2,2,2,3000000.0,2026-04-13 00:40:12+0000,자기계발 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,2,2,3,3,500.0,2026-04-13 00:40:51+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,3,2,3,3,500.0,2026-04-13 00:41:20+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,4,2,3,3,12250.0,2026-04-13 00:42:41+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,5,2,3,3,12250.0,2026-04-13 00:42:46+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,6,2,3,3,250.0,2026-04-13 00:43:30+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,7,2,3,3,250.34,2026-04-13 00:43:39+0000,자기계발 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
100,8,2,2,2,2000000.0,2026-04-13 00:44:48+0000,소비분석 대출,1,NudgeBank 대출 실행,대출,LOAN,남성,1999-10-25
100,9,2,3,3,337233.0,2026-04-13 00:45:06+0000,소비분석 대출 상환,1,NudgeBank 대출 상환,대출상환,6012,남성,1999-10-25
